B02,B03,B04,B08,class
996.88525390625,834.2811279296875,671.7156982421875,1899.6173095703125,PALTO
963.09197998046875,860.58099365234375,725.83526611328125,4116.83203125,PALTO
954.964111328125,813.97308349609375,632.757080078125,3464.416259765625,PALTO
987.6722412109375,831.9005126953125,685.01556396484375,2953.13525390625,PALTO
871.87908935546875,699.49072265625,452.3502502441406,3737.470703125,PALTO
1198.486083984375,1095.7833251953125,1327.155517578125,1790.904052734375,VID DE MESA
940.60675048828125,751.82415771484375,575.94580078125,2259.80615234375,PALTO
1238.00341796875,1157.4931640625,1260.0703125,1846.462646484375,PALTO
958.7484130859375,782.03912353515625,580.86871337890625,1858.7508544921875,OLIVO
904.0848388671875,758.4459228515625,578.743896484375,4434.8515625,PALTO
931.89886474609375,764.3958740234375,566.52008056640625,2076.161376953125,MANDARINO
930.40093994140625,774.02886962890625,595.789794921875,3388.52294921875,PALTO
1284.4923095703125,1155.224609375,1302.9923095703125,1865.14013671875,NOGAL
1131.7142333984375,1091.962158203125,1139.2303466796875,3424.259765625,PALTO
928.2313232421875,797.65338134765625,619.23150634765625,4165.1025390625,PALTO
851.94830322265625,681.00567626953125,484.6361083984375,2696.92919921875,PALTO
907.34820556640625,733.756591796875,512.67108154296875,3187.3955078125,PALTO
1067.6307373046875,869.630126953125,946.1785888671875,1454.53076171875,VID DE MESA
819.84661865234375,622.789306640625,418.4695129394531,2421.966796875,PALTO
1131.120361328125,976.619384765625,1041.8018798828125,1894.1810302734375,MANDARINO
914.774169921875,789.43304443359375,625.56451416015625,4318.6181640625,PALTO
1059.84814453125,862.0196533203125,826.16845703125,1594.108154296875,VID DE MESA
866.753662109375,697.81024169921875,467.10711669921875,2577.1865234375,PALTO
927.1331787109375,808.2821044921875,502.23876953125,2953.370849609375,MANDARINO
1041.7432861328125,827.6798095703125,831.15496826171875,1260.66162109375,CIRUELO EUROPEO
908.00238037109375,744.45745849609375,522.83013916015625,2939.795654296875,PALTO
1071.2283935546875,880.5916748046875,959.443603515625,1652.4091796875,VID DE MESA
914.3275146484375,746.31402587890625,567.5181884765625,2004.1065673828125,MANDARINO
1099.1492919921875,949.8861083984375,959.268798828125,1650.0040283203125,DURAZNERO TIPO CONSERVERO
1207.6865234375,1135.3182373046875,1316.871337890625,1830.7303466796875,VID DE MESA
1079.1229248046875,930.072998046875,891.66552734375,2828.133544921875,PALTO
963.09918212890625,829.47589111328125,715.5064697265625,3496.657958984375,PALTO
935.930908203125,800.3729248046875,598.552001953125,2062.365478515625,POMELO
918.56915283203125,744.30462646484375,542.16949462890625,3464.36279296875,PALTO
910.36102294921875,773.0731201171875,533.81817626953125,2646.078857421875,PALTO
1021.3470458984375,834.55078125,792.79180908203125,1594.2567138671875,PALTO
972.7879638671875,811.64227294921875,616.84979248046875,2056.391357421875,MANDARINO
1017.7319946289062,865.033447265625,797.8702392578125,1939.9307861328125,PALTO
914.976318359375,759.86456298828125,634.17230224609375,1882.8927001953125,PALTO
910.30096435546875,761.3271484375,466.5696105957031,2473.7783203125,MANDARINO
817.10198974609375,622.66412353515625,408.8027648925781,2809.548583984375,PALTO
1057.5537109375,912.07989501953125,875.135986328125,2991.41796875,PALTO
973.45050048828125,803.3218994140625,641.9765625,2634.214111328125,PALTO
918.4686279296875,754.65032958984375,563.27734375,3709.489990234375,PALTO
903.0914306640625,772.7427978515625,526.03515625,4769.70703125,PALTO
934.44158935546875,763.33428955078125,637.21710205078125,3168.342529296875,PALTO
962.0406494140625,818.02117919921875,569.755126953125,2054.058837890625,MANDARINO
1010.7592163085938,847.22772216796875,718.1441650390625,1733.353759765625,DURAZNERO TIPO CONSERVERO
920.59674072265625,773.525390625,557.15106201171875,2200.8515625,PALTO
1101.8739013671875,946.8564453125,946.69921875,1418.533203125,VID DE MESA
1058.1298828125,843.6341552734375,983.73095703125,1677.77734375,VID DE MESA
1148.7672119140625,1092.9300537109375,1118.01318359375,2533.4091796875,PALTO
1011.7448120117188,827.80926513671875,722.33367919921875,1932.943115234375,DURAZNERO TIPO CONSERVERO
1163.1572265625,1060.87744140625,1131.712158203125,2966.579833984375,PALTO
1180.736083984375,1079.5594482421875,1223.36328125,1814.766845703125,PALTO
962.553955078125,799.051025390625,539.421875,1731.61474609375,OLIVO
1026.697265625,815.8583984375,718.74615478515625,1246.2596435546875,VID DE MESA
1069.955078125,911.29351806640625,847.37017822265625,1517.058349609375,VID DE MESA
923.69317626953125,721.3121337890625,494.19561767578125,1612.79541015625,PALTO
883.68707275390625,732.75970458984375,486.1556701660156,4298.18994140625,PALTO
1011.2752685546875,841.29656982421875,742.8203125,1761.4635009765625,NARANJO
